company_name,labeled_location,address,latitude,longitude,computed_county,labeled_county,address_city,address_state
ACM Georgia LLC,"Calhoun, Gordon County","975 Thomson Hwy, Warrenton, GA 30828",33.4122927,-82.6406263,Warren,Gordon,Warrenton,GA
ALBAform Inc.,"Calhoun, Gordon County","6505 McEver Rd, Flowery Branch, GA 30542",34.1674763,-83.9581455,Hall,Gordon,Flowery Branch,GA
AVS,"Barnesville, Lamar County","6110 McFarland Station Dr, Alpharetta, GA 30004 ",34.134562,-84.252772,Forsyth,Lamar,Alpharetta,GA
Adient,"Ringgold, Catoosa County","1700 S Progress Pkwy, West Point, GA 31833",32.8486888,-85.1244466,Harris,Catoosa,West Point,GA
Ajin Georgia,"Dalton, Whitfield County","355 Rocky Rd, Register, GA 30452",32.3008535,-81.8644866,Bulloch,Whitfield,Register,GA
Apache Mills Inc.,"Hawkinsville, Pulaski County","3270 Joe Jerkins Blvd SE, Calhoun, GA 30701",34.1674763,-83.9581455,Hall,Pulaski,Calhoun,GA
Archer Aviation Inc.,"Ellaville, Schley County","2151 Centennial Pkwy NE, Covington, GA 30014",33.5928931,-83.6101194,Morgan,Schley,Covington,GA
Arising Industries Inc.,"Macon, Bibb County","6010 Unity Dr, Norcross, GA 30071",33.9151041,-84.2039953,Gwinnett,Bibb,Norcross,GA
Ascend Elements,"Statesboro, Bulloch County","1409 Brampton Ave, Covington, GA 30014",33.3390858,-84.1874153,Henry,Bulloch,Covington,GA
Aurubis,Troup County,"439 Valencia Way, Augusta, GA 30906",33.282551,-81.955757,Richmond,Troup,Augusta,GA
Beaver Manufacturing Co. Inc.,"Griffin, Spalding County","12 Ed Needham Dr, Mansfield, GA 30055",33.518502,-83.736037,Newton,Spalding,Mansfield,GA
Big Tex Trailer Manufacturing Inc.,"Monroe, Walton County","3850 Harrison Rd, Loganville, GA 30052",33.849953,-83.920769,Gwinnett,Walton,Loganville,GA
Blue Bird Corp.,"Elberton, Elbert County","402 Blue Bird Blvd, Fort Valley, GA 31030",32.561892,-83.87919,Peach,Elbert,Fort Valley,GA
Blue Ridge Manufacturing,"Canton, Cherokee County","87 Tom Boyd Rd, Blue Ridge, GA 30513",34.8963485,-84.094162,Union,Cherokee,Blue Ridge,GA
Bonnell Aluminum,Troup County,"37 LaGrange St, Newnan, GA 30263",33.3719956,-84.8012883,Coweta,Troup,Newnan,GA
Boogook Industries,"Gainesville, Hall County","2600 Weaver Rd Suite 1-11, Macon, GA 31217",32.8141689,-83.5566387,Bibb,Hall,Macon,GA
Bosal Industries Georgia,"Rome, Floyd County","1 Bosal Way, Lavonia, GA 30553",34.4385903,-83.1215748,Franklin,Floyd,Lavonia,GA
Bosch (Automotive Division),"Thomson, McDuffie County","1241 Meadowbrook Dr, Toccoa, GA 30577",34.5288916,-83.2825339,Stephens,Mcduffie,Toccoa,GA
Bridgestone Bandag,"Augusta, Richmond County","801 Greenbelt Pkwy, Griffin, GA 30223",33.2369594,-84.2346421,Spalding,Richmond,Griffin,GA
