company_name,labeled_location,address,latitude,longitude,labeled_county,computed_county,location_city,address_city,address_state,outside_polygon,duplicate_cluster_id,duplicate_risk_class,conflict_flags,evidence_score
Michelin Tread Technologies,"Lawrenceville, Gwinnett County","1 Parkway South Blvd, Greenville, SC 29615",34.8611177082749,-82.258199703858,Gwinnett,,Lawrenceville,Greenville,SC,True,,,address_state_not_ga | location_city_vs_address_city_conflict | outside_georgia_polygon,7
Morgan Corp.,"Lawrenceville, Gwinnett County","15 Morgan Center Dr, Morganton, NC 28655",35.754058,-81.667538,Gwinnett,,Lawrenceville,Morganton,NC,True,,,address_state_not_ga | location_city_vs_address_city_conflict | outside_georgia_polygon,7
Volvo Cars USA,Georgia,"1800 Volvo Place, Mahwah, NJ 07430",41.0740427635951,-74.1712478395491,,,,Mahwah,NJ,True,,,address_state_not_ga | outside_georgia_polygon,6
Volvo Group North America,Georgia,"7900 National Service Rd, Greensboro, NC 27409",36.0818642621738,-79.9684288843386,,,,Greensboro,NC,True,,,address_state_not_ga | outside_georgia_polygon,6
ALBAform Inc.,"Calhoun, Gordon County","6505 McEver Rd, Flowery Branch, GA 30542",34.1674763,-83.9581455,Gordon,Hall,Calhoun,Flowery Branch,GA,False,DUP013,suspicious_multi_company_multi_address,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch | duplicate_coordinate_cluster,4
Apache Mills Inc.,"Hawkinsville, Pulaski County","3270 Joe Jerkins Blvd SE, Calhoun, GA 30701",34.1674763,-83.9581455,Pulaski,Hall,Hawkinsville,Calhoun,GA,False,DUP013,suspicious_multi_company_multi_address,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch | duplicate_coordinate_cluster,4
Hanon Systems USA LLC,"Griffin, Spalding County","400 Hanon Dr, Shorter, GA 36075",32.4705166,-85.8969782,Spalding,,Griffin,Shorter,GA,True,DUP004,shared_address_or_alias,location_city_vs_address_city_conflict | outside_georgia_polygon | duplicate_coordinate_cluster,4
Hitachi Astemo,"Fayetteville, Fayette County","400 Hanon Dr, Shorter, GA 36075",32.4705166,-85.8969782,Fayette,,Fayetteville,Shorter,GA,True,DUP004,shared_address_or_alias,location_city_vs_address_city_conflict | outside_georgia_polygon | duplicate_coordinate_cluster,4
Hyundai & LG Energy Solution (LGES),"Cumming, Forsyth County","700 Hyundai Blvd, Ellabell, GA 31308",22.093612,82.149816,Forsyth,,Cumming,Ellabell,GA,True,DUP001,shared_address_or_alias,location_city_vs_address_city_conflict | outside_georgia_polygon | duplicate_coordinate_cluster,4
Hyundai Industrial Co.,"Valdosta, Lowndes County","700 Hyundai Blvd, Ellabell, GA 31308",22.093612,82.149816,Lowndes,,Valdosta,Ellabell,GA,True,DUP001,shared_address_or_alias,location_city_vs_address_city_conflict | outside_georgia_polygon | duplicate_coordinate_cluster,4
Hyundai MOBIS (Georgia),"Fayetteville, Fayette County","300 Hyundai MOBIS Dr, West Point, GA 31833",32.8772531,-85.183728,Fayette,Troup,Fayetteville,West Point,GA,False,DUP005,suspicious_multi_company_multi_address,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch | duplicate_coordinate_cluster,4
Hyundai Transys Georgia Powertrain,"Dublin, Laurens County","100 Powertrain Way, West Point, GA 31833",32.903183,-85.159941,Laurens,Troup,Dublin,West Point,GA,False,DUP006,suspicious_multi_company_multi_address,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch | duplicate_coordinate_cluster,4
Hyundai Transys Georgia Seating Systems,"Marietta, Cobb County","801 Transys Pkwy, West Point, GA 31833",32.8772531,-85.183728,Cobb,Troup,Marietta,West Point,GA,False,DUP005,suspicious_multi_company_multi_address,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch | duplicate_coordinate_cluster,4
JAC Products Inc.,"Clarkesville, Habersham County","120 Logistics Pkwy, Jefferson, GA 30549",34.10601,-83.589021,Habersham,Jackson,Clarkesville,Jefferson,GA,False,DUP011,suspicious_multi_company_multi_address,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch | duplicate_coordinate_cluster,4
Seoyon E-HWA,"Hazlehurst, Davis County","200 Seoyon E-HWA Blvd, West Point, GA 31833",32.903183,-85.159941,Davis,Troup,Hazlehurst,West Point,GA,False,DUP006,suspicious_multi_company_multi_address,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch | duplicate_coordinate_cluster,4
Seoyon E-Hwa Interior Systems,"Macon, Bibb County","200 Seoyon E-HWA Blvd, West Point, GA 31833",32.8772531,-85.183728,Bibb,Troup,Macon,West Point,GA,False,DUP005,suspicious_multi_company_multi_address,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch | duplicate_coordinate_cluster,4
ACM Georgia LLC,"Calhoun, Gordon County","975 Thomson Hwy, Warrenton, GA 30828",33.4122927,-82.6406263,Gordon,Warren,Calhoun,Warrenton,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
AVS,"Barnesville, Lamar County","6110 McFarland Station Dr, Alpharetta, GA 30004 ",34.134562,-84.252772,Lamar,Forsyth,Barnesville,Alpharetta,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Adient,"Ringgold, Catoosa County","1700 S Progress Pkwy, West Point, GA 31833",32.8486888,-85.1244466,Catoosa,Harris,Ringgold,West Point,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Ajin Georgia,"Dalton, Whitfield County","355 Rocky Rd, Register, GA 30452",32.3008535,-81.8644866,Whitfield,Bulloch,Dalton,Register,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Archer Aviation Inc.,"Ellaville, Schley County","2151 Centennial Pkwy NE, Covington, GA 30014",33.5928931,-83.6101194,Schley,Morgan,Ellaville,Covington,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Arising Industries Inc.,"Macon, Bibb County","6010 Unity Dr, Norcross, GA 30071",33.9151041,-84.2039953,Bibb,Gwinnett,Macon,Norcross,GA,False,DUP010,benign_same_company,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch | duplicate_coordinate_cluster,3
Ascend Elements,"Statesboro, Bulloch County","1409 Brampton Ave, Covington, GA 30014",33.3390858,-84.1874153,Bulloch,Henry,Statesboro,Covington,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Beaver Manufacturing Co. Inc.,"Griffin, Spalding County","12 Ed Needham Dr, Mansfield, GA 30055",33.518502,-83.736037,Spalding,Newton,Griffin,Mansfield,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Big Tex Trailer Manufacturing Inc.,"Monroe, Walton County","3850 Harrison Rd, Loganville, GA 30052",33.849953,-83.920769,Walton,Gwinnett,Monroe,Loganville,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Blue Bird Corp.,"Elberton, Elbert County","402 Blue Bird Blvd, Fort Valley, GA 31030",32.561892,-83.87919,Elbert,Peach,Elberton,Fort Valley,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Blue Ridge Manufacturing,"Canton, Cherokee County","87 Tom Boyd Rd, Blue Ridge, GA 30513",34.8963485,-84.094162,Cherokee,Union,Canton,Blue Ridge,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Boogook Industries,"Gainesville, Hall County","2600 Weaver Rd Suite 1-11, Macon, GA 31217",32.8141689,-83.5566387,Hall,Bibb,Gainesville,Macon,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Bosal Industries Georgia,"Rome, Floyd County","1 Bosal Way, Lavonia, GA 30553",34.4385903,-83.1215748,Floyd,Franklin,Rome,Lavonia,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Bosch (Automotive Division),"Thomson, McDuffie County","1241 Meadowbrook Dr, Toccoa, GA 30577",34.5288916,-83.2825339,Mcduffie,Stephens,Thomson,Toccoa,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Bridgestone Bandag,"Augusta, Richmond County","801 Greenbelt Pkwy, Griffin, GA 30223",33.2369594,-84.2346421,Richmond,Spalding,Augusta,Griffin,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Carcoustics USA,"Griffin, Spalding County","4740 S Lee St, Buford, GA 30518",34.1143595,-84.0074037,Spalding,Gwinnett,Griffin,Buford,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Club Car LLC,"Madison, Morgan County","4125 Washington Rd, Evans, GA 30809",33.5200327,-82.1126401,Morgan,Columbia,Madison,Evans,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Continental Automotive,"Jasper, Pickens County","7310 Oakley Industrial Blvd, Fairburn, GA 30213",33.5496124,-84.5424686,Pickens,Fulton,Jasper,Fairburn,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Continental Tire the Americas LLC,"Lawrenceville, Gwinnett County","160 Aldora St, Barnesville, GA 30204",33.0526972,-84.175058,Gwinnett,Lamar,Lawrenceville,Barnesville,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
DAS Corp.,"Gainesville, Hall County","730 Fortner Rd, Metter, GA 30439",32.3838336,-82.0753462,Hall,Candler,Gainesville,Metter,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
DaeChang Seat Company,"Decatur, DeKalb County","Savannah Chatham Manufacturing Center, Savannah, GA 31408",32.0841897,-81.0871481,Dekalb,Chatham,Decatur,Savannah,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
DeKalb Tool & Die Inc.,"Calhoun, Gordon County","2220 Stephens Dr, Tucker, GA 30084",33.849158,-84.230399,Gordon,Dekalb,Calhoun,Tucker,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Denkai America,"Cumming, Forsyth County","1614 Douglas Rd, Augusta, GA 30906",33.4579269,-81.9963887,Forsyth,Richmond,Cumming,Augusta,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Die-Tech Industries Inc.,"Hinesville, Liberty County","102 Automation Dr, Carrollton, GA 30117",33.6166214,-85.1044625,Liberty,Carroll,Hinesville,Carrollton,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
